131002241224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00538436_0.00144756_0.0772015_0.0969946,0.0077056,,0.00538436,,0.917305,0.645546,0.997195,,0.517293_0.4973,,0.00598154,0.00598154_0.0466639,,0.00538436_0.00144756,,0.00338373_0.000771955,,,,,0.00489763,0.115588_0.0454299_0.266535,0.186182_1.87062e-05,0.00210332_0.000651827_2.04438e-10_0.173892,0.00489763,0.00902011,,,0.00489763_0.000947682_4.74399e-11,0.00259183,0.00489763,0.00538436,0.00598154,,,0.00598154_0.00176147,0.00385878_0.00144756_1.56329e-10,0.0816808,0.574935_0.190919_0.350059,,,0.00538436_0.0734649,,0.0363601_0.0749246_0.106667_0.146917_0.0964723,,,0.00538436,,,0.00538436_0.000529042,,,0.00449308,,0.00271863,0.00489763_0.00176147,0.00489763,0.00210332_0.000706744,0.391224,0.304871,0.00237112_0.000564412,,0.742662_1.0,,1.0_0.999971_0.978141,,1,0.988096,,0.00157337_0.000651827,0.00271863,,0.00538436,0.00271863,,0.00489763_0.000706744_2.04438e-10,0.00271863_0.000445549_1.85438e-10_0.115678,0.00259183,0.535725,0.0734649_2.23579e-08,0.00489763_0.000193824,0.00090012,0.00489763_0.000706744,,0.00673225,0.00449308_0.000445549_2.04438e-10,,0.872594,0.736286_0.428395,0.295423_2.61045e-05,0.00489763_0.000651827,0.0411303_1.68391e-05,,,,8.05301e-05_9.01643e-06,,0.00598154,
0.00489763,0.0077056,0.00598154,,0.00538436,0.892214_0.190919,0.57031_0.863444,1,0.992861_0.363008,0.774134_0.146776_0.718692,0.0120669,0.00538436_0.00144756_0.141415,0.00489763_0.0568543,0.00598154,0.00489763_0.00144756_1.85438e-10,0.00598154_0.000651827_1.56329e-10,0.00538436,0.0077056_0.000423342,0.00489763_0.000604932_2.27739e-10_0.173892,0.18598,,,0.0668595,0.06142_6.1288e-08,,0.00301432_0.000385028,,,,0.00902011_0.00144756_1.85438e-10_0.115678_2.68919e-08,0.00902011,0.00598154_0.000706744,0.00171723,0.00449308,0.00538436,0.0734649,,0.00538436_0.000706744,0.129778,0.239438,0.872594_0.582242,,,,0.0412169_0.292985,0.00301432,0.00489763_0.000353137,,0.00489763_0.00176147,,0.00449308_0.000651827_2.04438e-10_0.2088,0.0734649_0.135547,,0.00318817_0.000850687,0.00385878_0.000771955,0.00598154_0.000706744,0.00489763_0.000257567,0.00538436_0.000564412,0.000267101,0.391224_0.0801754,0.0668595_0.327219,0.000329251,0.0668595,1.0_0.999994,1,1.0_0.999938,1.0_0.999973,1,0.938564_0.666831,0.00338373,0.00338373,0.00489763,0.00145198_0.000771955,,0.0629933,,,0.00489763_0.000651827,0.0734649_0.0861386,0.303876_0.203095,0.0017713,0.00157337_0.000706744_2.56981e-10,,,0.00360538_0.000497894,,0.00195642_0.000706744_2.27739e-10_0.00811051,,0.631762_0.308876_0.479,0.698467_0.264713,0.321774,0.06142_0.187337,0.00489763_0.126339_6.1288e-08_0.270161,,0.00489763,0.000929435,0.00598154,,0.00538436_0.000706744,0.00259183
0.0668595_6.1288e-08,0.00902011_0.000706744_2.94752e-10_0.0422167,0.00538436_0.0225706,0.00259183_0.00107021,,0.573307,,0.91169_0.420829_1.0,0.778146,,,0.00598154,0.00489763_0.000706744,,0.00385878_0.000497894_8.0302e-11,0.00301432,0.00673225_0.000706744_4.14404e-11,0.00538436,,,0.00598154_0.000403266,0.00598154_0.06142,0.0418866,,,,0.0361816_0.135547_0.0592871,,0.000303404_0.00176147,0.00598154_0.000604932,,,,,0.00538436,0.495455,0.0495998_6.1288e-08,,0.0668595_5.45154e-08_0.270161,,,0.495455,0.00271863_0.000706744,0.119361,0.321774_0.0960377,,0.00598154,0.00489763_0.000771955,0.000562936_2.84089e-05,0.06142,0.00673225,,0.00902011_0.000706744,,,0.00489763_0.126339,0.224504,0.00449308,0.00538436,0.265942,0.517293_3.90009e-05,0.00210332,0.281546,,1.0_0.999994,,,,,,0.00360538_0.000564412_2.27739e-10_0.261066_6.59683e-09,0.000374232_6.12868e-13,0.00091454,,,0.0611177_2.84089e-05,,0.00598154_6.01345e-05,0.0734649,0.631762,0.00449308,0.00489763_0.000771955,0.00598154,0.00598154,,0.00360538_0.000706744_1.69652e-10,,,0.517293,0.0077056_0.381254,,0.0182817_3.51057e-08_0.107138_3.84127e-08_0.0145085,0.00538436,0.000646213,0.00538436,,0.00227448_0.00144756_2.04438e-10,,,0.0146362
,0.00385878,,0.00285872_0.000497894,0.000747239,0.481186_0.317316_0.490107_0.648074,0.776487,0.907914_1.0,,0.992075_0.484377_0.644325,0.00598154,0.00538436,0.00673225,0.00360538_0.000651827,0.00598154_0.000850687,0.00598154_0.000564412_1.69652e-10,,0.000323733_0.000147562,,0.00538436,,,0.0668595_6.99789e-08,0.06142_5.45154e-08_0.0533519,0.00538436,,0.00673225,0.00415136_0.000706744_1.06161e-10,0.00090012_0.000706744,0.00598154_0.00176147,0.00673225_0.00144756_2.27739e-10,0.00598154_0.000706744_2.04438e-10,0.00237112_0.000651827_2.94752e-10,,0.00489763,0.495455,0.0668595_2.23579e-08,0.0568543,,0.0430507_0.0449461,,0.808096_0.294839_0.75495,,0.0495998,0.0922216,,0.00318817_0.000706744,,,,0.00117985,,0.00538436_0.000158345,0.00489763,0.00673225,0.00598154_0.00176147,,0.00449308,0.00271863_0.0568543_6.1288e-08_0.0617595,0.495455,0.00598154,0.765131,,0.638079_0.86959_0.877778,,1.0_0.999948,1,1,,0.00318817,0.00285872_5.28823e-05,,0.00415136,0.00360538,0.00538436,0.0816808_6.1288e-08_0.0212956,,0.00489763_0.000771955_8.74051e-11,,0.736286,,0.00538436_0.000706744,0.00598154,0.00285872,0.00385878_0.000706744_7.71647e-11,0.00318817,0.00415136_0.000651827_2.04438e-10_0.160458,0.00195642_0.000706744,,0.639941,0.374533,0.000518155_0.0141694_0.0325948,0.00598154,,0.00489763_0.000604932_0.00502229,,0.00157337,,0.00489763_0.000651827,0.00489763
0.249941,0.00171723_0.000651827_3.14752e-11_7.41109e-05,0.00489763_0.000771955,,,0.806295_0.0501453,0.808277,0.897542_1.0_0.815023_1.0,,,0.568651_0.22233_6.99789e-08,,0.0077056,0.0361816,0.00489763_0.00144756,,0.00271863_0.000564412_1.69652e-10_0.138962,0.00338373_0.00176147_1.85438e-10,0.00449308_0.106322_5.45154e-08_0.106667,,0.00902011_0.000265529,,0.00598154,0.00489763,9.50093e-10_3.11936e-05,0.00538436,,,0.00489763_0.000850687,0.00538436_0.000706744_1.69652e-10,0.0077056_0.000706744,0.00489763,,0.00489763_0.000706744_2.04438e-10_0.115678,0.00673225,0.00673225,,,,0.481186,0.892214,,0.00489763_0.143409,0.0734649_5.45154e-08,0.0452611_0.155528,0.391224_1.35182e-05,0.00489763,0.00598154,,0.00538436,0.00449308,,,,,,0.00237112_0.000106129,0.00673225_0.000706744_2.94752e-10_0.2088,,0.20825_0.14268_0.473725,0.186182,0.00538436,0.000305_0.00144756_0.411505,0.867108,1,1.0_0.999977,,1.0_0.999977_0.931432,,,0.00598154_0.000706744_9.58789e-11,0.00673225_0.00176147_2.56981e-10,0.00489763_0.000771955,,0.00237112_0.00176147,,0.00489763_0.000651827,,0.00247649_0.256431_0.288178,,0.338209,0.0077056,,0.00538436,,,,,,,0.40746_0.124016_0.0415077,0.00318817,0.00489763_0.00144756,0.00538436,0.769307,0.00538436,0.00598154_0.0466639,0.00385878,0.00598154,0.00673225
,0.00090012_0.000706744,0.00489763,0.0408341_3.11936e-05,0.0668595_0.149862_0.351174,,,0.901386,0.793362_0.534153,0.981866,,0.00598154,0.00247649,,0.00598154,0.00538436_0.000706744,,,0.00449308,0.0611177,0.00489763_0.000947682,0.0596161,,0.0016664,0.00538436_0.000706744_1.69652e-10_0.0592322,0.00673225,,0.00338373,0.0077056_0.00144756_1.26477e-10,0.00598154,,0.00338373_0.000771955,0.00489763,0.00182893,0.249941,0.311563,0.06142_6.1288e-08,0.00673225,,,0.731476,0.665445,0.0668595_0.149862,0.0346517,,0.321774_1.77212e-05,0.0077056_0.000771955_1.85438e-10,0.00301432_0.000706744,0.0077056,0.00598154,0.00489763,0.00538436,0.00120489_8.21476e-05,0.00538436,0.00902011,0.0833382_0.0316715,,0.0016664,0.0734649,,,0.000810736,0.374533_0.0801754,,1,,1,,,,0.00598154,,,0.00489763,0.00318817,0.00489763_0.00176147,0.00902011_0.000706744_2.04438e-10,0.00385878_0.00144756,0.00538436,,0.403893_0.0330521_0.106667_1.91891e-06,0.00598154_0.000292711,,0.00538436_0.000706744,0.00271863,0.00673225,0.00902011_0.000706744,0.00271863_0.143409,,0.652682,0.391224,0.00360538,0.00489763_0.000706744,0.00538436_0.00144756,,0.00385878,,0.00285872_0.0568543_3.2771e-08,0.00247649_0.0378619,0.00538436_0.000207826
,,0.00113279,,,,0.666282,1,1.0_0.834085,0.627396,0.0018905,0.00538436,0.00538436_0.0219926,0.00598154,,,0.00538436,0.00153068_7.91707e-05,0.00489763_0.000771955_0.106425,0.109572,0.00598154,0.00271863_0.000771955_1.69652e-10_0.0624508,0.0668595,,0.00285872_0.000706744,0.0077056,,0.06142_5.45154e-08,,,0.00795575,0.00489763_0.000706744_1.26477e-10,0.00673225,0.00247649_0.000706744_2.94752e-10_0.086598,0.00902011,0.353363,,,0.281546,0.265942_0.161701,0.674641,,0.0734649,0.281546_0.0449461,,0.318477_0.0373883,0.00131681_0.000771955,0.00285872_0.000181603_4.63227e-11,0.00489763_0.000651827,0.00598154,0.00489763_0.000706744,0.00157337,0.00489763_0.000529042,0.0077056,,0.00598154,0.00171723,0.00449308,0.00271863,,,,,0.916334_1.0,1,1.0_0.999977_0.902054,1.0_0.999997,1,0.925841_0.823174,,0.00301432,0.00673225_0.000274005,0.00489763_0.000651827_3.19885e-11,0.00385878_0.000850687,0.00259183,0.0311082_2.10689e-05_0.0333138_0.0571717,0.00538436,0.00271863,0.00285872,0.517293_0.294873_0.443103,0.00598154,0.00598154,,,0.00338373_0.000706744_1.69652e-10,0.00247649,,,0.985648_0.435922,0.849613,,0.00489763_0.000706744,,0.00489763_9.77934e-05,,0.00103022,0.000323733_0.000706744_0.0324465,0.0417757_0.135547_0.0444466,0.00598154,
0.00538436,,0.0018905,0.00489763,0.00489763_0.0568543,0.353363_0.12808_0.657234_0.476088,,,0.897542,0.629399,0.575728,0.0133225_0.189969_0.0379433_0.0266374,,0.00247649,,,0.00449308,,0.00103022,,0.00538436,0.00271863,0.0734649,0.00598154_0.000706744,0.00103022,0.00673225,0.0668595,0.00420121_5.45154e-08,0.00673225,,,,0.00598154_0.00144756_2.27739e-10_0.138962,,0.391224,,0.148698_0.106322,0.00489763_0.00176147_2.27739e-10,,0.517293,0.3407_0.113955,0.495455,0.314851,,0.353363_0.204916,0.249941,0.00489763_0.000423342,0.00271863_0.000564412,,0.171418,,0.00538436,0.00538436,0.00598154,0.000487479_0.000403266_2.94752e-10,,0.00598154_0.000706744,0.00449308_0.000651827_8.74051e-11,0.00598154,,0.0734649,0.000701511_0.000850687,,1.0_0.999938_0.943821_1.0,,1,,,0.858469,0.00091454,0.00489763,0.00598154,0.00247649,,0.00673225_0.0361816,0.06142_2.7319e-08,0.00538436,0.00258911_6.1288e-08,0.249941_0.0649221_0.242593,,,0.000693034,0.00673225_0.000651827,,,0.00113279,0.00489763,0.00538436_0.06142,0.391224_0.14268,,0.0568543,,0.00673225,,0.00489763,0.00598154_0.00144756,0.00259183,0.00271863,0.0668595,0.00489763
,,,,0.00489763,0.808277,,,0.925841_0.725033,0.989814,0.0816808,,0.00598154,,,,0.00449308,0.00145198_0.000564412_1.69652e-10_0.261066_2.99058e-08,0.00538436_0.0466639,0.227926_0.103896_0.314217_0.0407101,0.00318817_0.000706744_1.0076e-10_0.0234271,0.00318817_0.000771955,,,0.00449308_0.000564412,,0.0417757_0.0463903,,,,0.00538436_0.000529042,0.00538436_0.000224031,,0.00237112,,0.0853093,0.00301432,0.00598154,0.22205,0.158763,0.674641_0.420829,,,0.249941,,0.00385878_0.000651827,0.0077056,,0.00247649_0.00144756,0.00673225_0.000651827_1.56329e-10,,,0.00489763,0.00489763_0.00176147,0.00538436,,0.00157337,0.00538436,0.0734649,0.517293_0.354821,0.357078_5.27129e-05_0.00745704,0.00108938_0.00144756,,0.992075_1.0,0.994076,1.0_0.999938_0.919434,1,1.0_0.999973,0.925841,0.0734649,0.000405343_0.000604932,0.00538436,0.00171723_0.000706744,0.00489763_0.000706744_2.27739e-10_0.232047,0.00489763,0.00598154_0.06142_1.63992e-08,0.00598154_0.000706744,0.00538436,0.645546,0.574935,0.0734649,0.00131681_0.000706744_5.70679e-11,,,0.00259183,0.00489763,0.00538436_0.000771955,0.00237112,0.777193,0.619531_0.408478_0.592067,0.00902011,,0.0361816_6.1288e-08,0.000872613_0.000706744,,0.00673225_0.000303066,0.00449308_0.00176147_2.04438e-10,0.00489763_0.000706744,0.00489763,0.00538436
,,0.00673225,0.105515,0.0816808,0.674641_0.376317_0.490107,,,0.897542,0.645546,0.668038,,0.0440759,0.00195642,,0.00902011_0.000564412,0.00149028_0.000120866,,0.00538436_0.11779,,,,0.00449308,,,0.00598154,0.0495998_0.0325944,0.00673225,,0.00259183_0.00023633,0.00489763,0.00161853,,0.00538436_0.000651827,0.00538436,0.391224,0.00673225,0.00237112_0.000423342,0.00673225_0.000706744_0.150627,0.00538436_0.162041,0.517293,0.00538436,0.249941_2.10689e-05_0.0887936,0.0668595_6.1288e-08,,0.0734649,0.00598154_0.00184878,,0.06142_6.1288e-08_0.0711512,0.00598154,0.00489763,,0.000532525,0.00125834,0.00449308,,,,,0.442027_0.29765,0.00301432,0.0018905_0.000265529,0.321774,,1.0_0.999982,1.0_0.999975_0.936147,1,1,1,0.42945_0.0816808,,0.00598154,,,0.0568543,0.00489763_0.000706744,,0.00489763,,0.317077_0.164351_0.148883,0.00117985_5.97248e-05,0.00489763_0.000423342,0.000799407_0.000706744,0.0417757_5.45154e-08_0.133204_2.96342e-06,0.00338373_0.000771955_4.32648e-11,,0.00788758,,0.176498_3.90009e-05,,0.00673225,0.000491635_0.000604932_2.04438e-10,0.0225706_0.149862,,0.00489763,0.00449308,0.00237112_0.000283046,0.00247649_0.0474093,,0.00598154
0.42945_0.0466639_5.45154e-08_0.00829744,0.0018905,0.0734649_5.45154e-08,0.00385878,0.00598154,0.539942_0.478258,0.988096_0.557391,,1.0_0.999973,0.74671_0.578889,,0.0225706_0.133984,0.00538436,,0.00673225,0.00489763_0.000106129,,,0.00538436,0.00902011,,0.000233792_0.000706744_0.122005_0.0592871,0.00285872_0.00176147,0.00598154,,,0.249941,0.00247649_0.00144756_1.85438e-10,0.00538436_0.000243005,,0.00259183_0.000651827_5.87704e-11,0.00659392_5.45154e-08,0.00385878_0.000651827,0.00538436_0.000651827_1.69652e-10,0.00598154_0.245545,0.281546_0.0306876,,0.00538436_0.000706744_2.04438e-10,0.00285872,,,0.808277,0.321774,,0.309107,0.0668595,,0.00489763_0.000385028,0.06142,0.00598154,0.00123103,0.000460253,,,0.00489763_0.00144756,,0.00598154,0.00598154_0.000771955_2.94752e-10,0.00538436,0.0922216,0.00285872,0.0077056_0.000423342,0.06142,,1,,,1.0_0.999938_0.925933,1,0.278867,,,,,,0.00385878,0.00673225_0.000706744,0.00271863_0.00031419,0.00115583_0.00144756_0.22421_0.247059,0.265942,0.436947_3.11936e-05,0.00538436_0.00176147,0.00673225_0.00563091,,0.00489763_0.00144756,0.00161853,0.00538436_0.000529042,0.000639023_0.00176147,0.461032,0.514941,,0.00338373,0.00538436,0.0077056_0.000706744,0.00538436,0.00360538_0.000706744_2.04438e-10,0.249941,,0.00673225_4.84996e-05,0.00271863_0.000850687
0.34563,0.00145198_0.00123004_2.94752e-10_0.2088_5.32439e-08,,0.00259183,0.374533,0.849613_0.578889,,,0.99109_0.669935,0.736286,,0.00538436_0.000706744_1.56329e-10,0.00538436,,,0.00598154,0.00385878,,0.0734649,0.281546,,,0.00271863_0.0495998,,0.00538436,0.00538436,,,0.00415136,0.000504544_0.000706744,0.00538436_0.000771955,,0.00489763,,0.00285872_0.106322_0.0631142,0.00318817,0.0018905,0.00271863,0.115396_0.040792_0.167553_0.0697229,0.906464,,0.571794_0.227734_0.149862,0.0668595,0.00598154,0.0734649,,,,0.00385878,0.00271863_0.000771955_1.77684e-11,0.00171723_0.0466639_2.89231e-08_0.0820929,0.00598154_0.00144756,0.00259183,,0.00237112_0.000385028,0.00538436,0.0229194_1.09693e-05,0.000552983_0.000604932_2.04438e-10_0.0903886,,0.635081,0.00598154_9.89026e-05,0.00598154,,,1.0_0.999985,1.0_0.999938,,1,,0.00673225_0.000497894,,0.00318817_0.000771955,0.00673225,0.00318817,,0.00538436_0.000706744_1.85438e-10,0.00318817_0.000771955_2.27739e-10_0.173892_7.84979e-09,0.00538436,,,0.0245126,,0.00090012_0.000706744,0.00598154,,0.00489763_0.000706744,0.00247649,0.00237112,0.495455_0.298517,0.375224,0.437579,0.00598154,0.00598154_0.000706744,0.00338373_0.00176147,0.00902011,0.00259183_0.000423342,0.00449308,0.00538436,,
0.106322,0.00489763_0.000771955,0.0374718_5.92063e-06,0.00598154_0.000651827,0.469543,,0.981866_0.823174,1,,0.925841,0.00489763,0.00449308,0.00902011_0.000706744,0.00489763_0.000706744_2.04438e-10,,0.00598154,,0.00415136_0.000564412_1.69652e-10,0.00285872_0.00144756,0.0668595,0.00489763_0.000850687,,,0.0346517_4.90894e-08_0.0561635,0.00538436,0.00673225,,0.00489763_0.000303066,0.00489763,0.00673225_0.00144756_2.04438e-10_0.2088,0.00227448_0.000706744,0.00318817_0.000604932_2.27739e-10_0.2088,0.00385878_0.000706744,0.00673225_0.000651827,,,,0.00385878_0.000564412_2.27739e-10_0.0609567,0.249941_0.0440759,,0.831528,0.714843_0.578889_0.288178_0.0844067,0.00598154,0.0833382,0.135689,0.167914_0.0495998_6.1288e-08,0.00259183,,,0.00449308,0.00271863,0.00489763_0.000706744,,0.00415136,0.000618387_0.00107021_2.04438e-10_0.173892,0.00538436_0.000706744,0.0103996_6.1288e-08,0.00598154_0.00031419,,0.00673225_0.274098_0.296669,0.391224,0.00449308_0.000706744,,1,1.0_0.999973,1,1,1.0_0.999996,1.0_0.999948_0.994762,0.808277_4.47525e-05,,0.00285872_0.000706744_2.04438e-10_0.122525,0.00247649_0.000706744,0.00902011_0.00144756,0.0568543,,0.0077056,0.00489763,,0.697894,0.631762,,0.00101192,,0.00673225_0.000706744,0.00171723_0.00144756_1.56329e-10_0.0237828,0.00449308,,0.84374_0.512186,0.593341,0.517293_0.040792_0.107428,0.18598_0.0296868_0.0604216,0.00673225,,,0.00416238_1.38778e-13,,0.00598154_0.000771955,,0.00673225_0.000706744
0.0668595_5.45154e-08,,0.00301432,0.00538436,0.508972,,0.892214_0.434859_0.991778,1,1.0_0.759187,,,,,0.06142_5.71929e-09,0.00902011,0.00538436,0.00538436,,,0.0568543,0.00598154,0.00538436_0.154911,0.281546,,0.00673225,0.00598154,0.00489763,0.00538436,0.00318817,0.00598154_0.000651827_8.0302e-11,,,0.00439195,0.00598154_0.000771955,0.00385878_0.172107,,,0.00415136,,,0.261967_0.274258,0.733336,0.00673225,0.00538436_0.106322,0.0529618,,0.00598154,0.00489763,2.87903e-05_9.07424e-05_0.232047,0.0225706_6.1288e-08,,0.00538436,0.00598154,,0.00902011,0.000483393_0.000218353,0.00449308,0.00489763_0.000250072,0.00489763_0.125165,,0.0734649,,0.00598154,0.99109_0.711156,,1,,1.0_0.999973,,0.574935,,0.00449308,0.000378792_0.000218353_2.27739e-10,0.00598154,0.00090012_0.000283046_2.94752e-10_0.138962,0.00489763_0.0568543_5.45154e-08_0.0296035,0.00538436,0.00489763_0.000706744,0.00673225_0.323553_0.462035,0.831528_0.0568684,,0.000810736,0.00598154_0.000706744,0.00598154,,0.00538436,0.00489763_0.000706744,,0.0833382,0.831528,0.601901_0.0241985,,0.0219926_2.13867e-08,0.00489763_0.000651827,0.00360538,0.00489763_0.000651827,0.00210332,0.00598154,,0.00489763_0.00176147_5.25031e-11
0.0734649_0.167553,0.00318817_0.000706744_2.94752e-10,0.0214447,0.000537495,0.0668595_0.44522_0.340317,,0.831528,0.961174,0.897542_1.0_0.837571,0.736286_0.480742,0.495455,,,0.00285872,0.00125834_0.000651827_2.04438e-10,0.00247649_0.000218353,0.00338373_0.000771955,0.00285872,0.00489763,0.00489763_0.0397167,0.00538436,,0.0496928,0.0816808,,0.00673225_0.000706744,0.00598154_0.126339_5.45154e-08_0.0969946,,0.00103022_0.000257567,0.00449308,0.00538436,0.000272107_0.000706744,0.00598154,0.00271863,,0.0816808,0.00117985,0.00489763_0.000385028,0.170671_0.0734649_6.1288e-08,,,,0.00673225_0.0245126_0.137482,0.00449308,,0.293727_0.235533_0.122005,0.00285872,0.00489763_0.00144756,,0.00385878_0.000651827,0.00489763_0.000771955_2.27739e-10_0.298295,0.00673225,0.06142,0.00538436,,0.00115583_0.00144756,0.00489763_0.000706744,0.0018905_0.000445549_1.26477e-10,,0.517293,0.00538436_0.000155503,0.00203639_1.11816e-08,0.00117985_0.106322,1,1,1,,1,1.0_0.999975,0.71581_0.0998834,0.00000390312,0.00149028,0.00489763_0.0529618_6.1288e-08_0.106667,0.00489763,0.00153068_0.000250072,,0.00271863_0.00144756,0.00489763,,0.517293_0.30514,0.574935,0.00271863_0.000651827,0.00673225,,,0.0077056,,,0.321774_0.545031,,0.0734649_0.149862,0.0077056,0.0629933,0.00598154,,,,0.00449308,0.00161853,0.00538436
,0.000653569_0.000651827,,0.00489763_0.000706744_1.85438e-10,0.00598154_0.270054_0.453094,,0.892214_0.172936_0.924958,0.934218,0.942361_0.86959_0.792393,0.892214_0.0659559_0.61022_0.211022,0.106322_0.0399575,0.00598154,,,0.0077056_0.00176147_8.0302e-11,0.00104921_0.000604932_1.56329e-10,0.00153068,,0.00538436_0.11129_0.188243_0.0877266,,0.00489763_0.000445549,0.00318817_0.00144756_2.94752e-10,,,,0.0256681,0.00538436_0.000706744,,,0.00449308,,0.00318817,,0.000872613_0.00176147,0.176498,0.576146,0.0850691,0.00149028_0.000423342_2.94752e-10,,0.576146,,0.0568543,,,0.00202717_0.00176147,0.00338373,,,,0.0560966,0.00489763_0.000706744,0.106322,0.00141562,0.00145198_0.000651827,0.00538436_0.000706744_1.44936e-10,0.00598154_0.000564412,,0.00360538,0.00538436,0.106322,,0.00489763_0.000604932,0.00489763_0.000604932_0.363472_0.107138,0.994034,1.0_0.999978_0.960281,1,1.0_0.999975_0.936147,1,0.907914,,,0.00489763_0.000423342,0.00673225_0.00144756,0.00673225,,0.00538436_0.11779_0.189969,0.000537495_0.000706744,,0.442027,0.298144,,0.00157337,0.00538436,0.00271863_0.000771955_2.94752e-10_0.173892,,,0.00598154,0.00338373,,0.535725_0.346236,0.517293_0.0568684_0.350059,0.0209245_5.45154e-08_0.152096,0.06142_4.90894e-08,0.00385878_0.000100038,0.00489763_0.000651827,0.00489763_0.000771955,0.00385878_0.000706744_2.56981e-10,0.00489763_0.000771955,,0.00489763
0.280789,0.00385878_0.000706744,0.00489763,0.00538436,,,,1,0.989814,0.645546,0.0816808,0.00247649_0.000706744_2.04438e-10,,0.00247649,0.00598154_0.000771955_1.69652e-10,,,,0.0734649_0.194869,0.00538436_0.000651827,0.00598154,,0.00902011,,,0.00538436_0.0495998_0.100163,0.00598154,,0.00538436,0.00489763,0.00538436,,0.00153068,0.00449308_0.000706744,,,0.00598154_0.000706744_1.44936e-10,0.00902011,0.77729,0.00598154_0.346886,0.496116_0.276619_0.61022,0.437579,,0.129747,0.249941,0.257059_3.46332e-05_0.130594_6.3931e-17,0.00489763_0.000706744,0.00538436,0.0378619_5.45154e-08_0.0889258,,,,0.00271863,0.00598154,0.00489763_6.97063e-05,0.00598154,0.00489763_0.000243005_4.98437e-11_0.0278857,0.00598154,0.00489763,,0.57031_0.0391377,,,0.897542,,1,,1,,,0.00153068_0.00123004,0.0238275,,0.00902011,,0.00195642,0.00489763_0.000771955_1.85438e-10,0.00598154_0.000604932,0.378486,0.796754,,,,0.00538436_0.000651827,0.00902011_0.000651827,0.00489763_0.000385028,0.00598154,0.00489763_0.0568543,0.495455,0.935864,0.00902011,0.0529618_3.77982e-08,0.00489763_0.000497894,,,0.00538436_0.00176147,0.00271863_0.000651827,,,0.00538436
,0.00157337,0.00489763,,0.281546,,0.517293,0.884437,0.884437,0.925841_0.582242,,,0.109572_0.0680973_2.04438e-10_0.148942,0.00489763,,,0.00598154,0.00538436_0.000706744_2.94752e-10,0.0219926,0.217501,,0.0734649_5.45154e-08_0.0425295,0.0568543_0.0497972,0.00385878_0.000771955,0.000653569,0.00598154,0.06142,0.00598154,,,,0.00449308_0.000564412,0.00489763_0.000651827_1.85438e-10,,,,,,0.249941,0.0668595,0.576146,,0.249941_1.87062e-05_0.0887936,0.0260147,0.00538436,0.00598154_0.00176147,0.00673225,0.00598154,0.00673225_0.0568543,,0.00538436_0.000423342,,,0.00538436,,,,,,0.0922216_0.556775_0.235272_0.227022,,0.00449308,,0.897542_0.86959_1.0,1,1,1,1.0_0.999982,,0.671768,0.00449308_0.000651827_1.44936e-10,0.00489763_0.0062398,0.00902011_0.000257567,0.00091454,,,0.00247649,0.00489763,,0.469543,0.00598154,,0.00489763_0.000706744_2.94752e-10,0.00338373_0.000706744,0.00489763_0.00176147_2.04438e-10,0.00360538_0.000706744,,0.00902011_0.000368385,,,0.374533,0.0470392,0.00106891_0.000445549_2.04438e-10,,0.00538436,0.00449308_0.000564412,0.00673225,,,
0.0816808,0.00285872_0.000706744,,0.00598154_0.000850687,,0.535725_0.157007,0.902103,0.884437_1.0,,0.808277,0.495455,,0.00489763,0.0568543_3.07272e-08,,0.00301432,,,0.00538436_0.000771955,0.0668595,0.00285872,,,,0.00538436_0.000368385,,0.0461904_0.0307827_6.1288e-08,0.00489763,0.00489763_0.000651827_1.69652e-10,0.000377409_2.01685e-13,0.00538436_0.0296868,0.00598154_0.000706744,0.00538436,0.00449308_0.00176147_2.94752e-10,0.0734649,,0.115588,0.00538436_0.00176147_1.85438e-10,0.391224_3.11936e-05_0.00928696,0.645546,0.631762_0.171226,,0.06142_6.1288e-08,0.00902011_0.000651827_0.173186,0.574935,,,,0.00673225,0.0077056_0.00144756,,0.00415136_0.00176147,0.00598154_0.000706744,,,,,,0.00673225_0.000604932,0.391224_0.297422,0.00598154,0.000611803_0.000651827_2.04438e-10_0.138962,,0.989814_1.0,1,,1,1,,0.00271863,0.00538436,0.000631992_0.00176147,0.00489763_0.00176147_9.58789e-11,0.00538436,,0.0361816_6.1288e-08_0.0762326_3.31462e-06,0.00318817,0.00538436,0.106322_0.316125,,0.00673225_0.00144756,,0.00598154,0.00538436,0.00598154_0.000771955_9.14471e-11,0.00360538_0.000292711,,,0.495455_0.410648,,0.0332525,0.0378619,0.00117985,,0.00171723,0.00489763_0.00144756_1.56329e-10,0.00598154_0.000771955,0.00171723,,
