241220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.94159E-08,,2.94159E-08,8.44568E-08,,,,0.910763,,,,,,0.0231961_0.135348_0.271268,,7.48923E-08,,,,,,1,,,,,1.0_1.0,0.990254,,1.0_1.0,,,1,,1,1,0.986611,,,,1,,1,1,0.983159,1,,0.993182,1,1,,1.0_1.0,,,1,0.987141_0.991069,,1.0_1.0_1.0,1,1,,0.983981_0.996741_1.0,,1.0_1.0,1,1,1,1.0_1.0,,,0.983159_0.998474,1,,,0.988088,,,1,,1,,1,,,1,,0.983159,,,1.0_1.0,1,,,1,0.988512,1,1,1,1,
,,3.21717E-08,8.44568E-08,8.44568E-08,0.153152,0.738983,,0.938329_0.450131,1.13845E-07,2.94159E-08,2.34254E-08,2.00419E-08,,,6.11496E-08,6.11496e-08_2.16239e-12,,,0.528206_0.375831_0.752427,0.854594,1.0_1.0,1.0_1.0_1.0,,1,1,,1.0_1.0,,,,1.0_1.0,1,,0.983981_0.995245_1.0,,0.984728,,,,,,,1.0_1.0,1,,,,,0.990254,,0.993464_0.994375,1,,1.0_1.0,,1,1,,1.0_1.0,,1,0.991764,0.991545,1.0_1.0,1.0_1.0_1.0,,1.0_1.0,1,,,,,1,,1,1,,1,,1,1.0_1.0_1.0,0.991972_0.999705,1,1,,,,,,1.0_1.0,0.996274,1,,,1,1.0_1.0,1,,1
,,6.73111e-08_1.50535e-12,6.11496e-08_4.52453e-12,7.48923e-08_5.45467e-12,,0.544267,,0.874124,0.0642667_5.29197e-34,,,3.55083e-08_4.52453e-12,,0.273536,,6.73111E-08,6.11496E-08,,0.826802,,,1,,,1,,1,,1,1,0.986665_1.0,1,,,1,1,1.0_0.981655,1,1,,1.0_1.0,1,0.989623_0.993806,1,,,,1,,,,,,1,1.0_1.0_1.0,0.989949,,1,,,,1.0_1.0,,,1,0.985411,,0.983981,,1.0_1.0_1.0,1,1,,,1,,,,,,,1.0_1.0,,1,,1,1,,,1.0_1.0,1,,,,1.0_1.0,1,1.0_1.0,1,0.995388
1.37359E-08,,,8.44568E-08,4.20851E-08,0.313717,,,0.296999,,2.34254E-08,6.11496e-08_4.52453e-12,,,,6.73111E-08,,,1.18775E-08,,,0.926753,,,1.0_1.0,,,1.0_1.0,0.955412,,1,,,,,,,,0.980824,0.983159,,1,,,1,,1.0_1.0_1.0,,1.0_1.0,0.991764,0.984728,0.991764_0.991069,,1,1.0_1.0,,,,,,,1,,,1,1,1,,,1,0.983159_0.994375,,,,,,,0.995931_0.993806,1,,,1,1,0.99178,,,1,,,1,0.99412_1.0_1.0,1,,1,,,,1.0_1.0,,1.0_1.0
,4.20851E-08,,,6.73111E-08,3.07312e-08_0.253968_0.281598,,,,,,6.11496E-08,1.59225E-08,0.0535547,,5.60404E-08,6.11496E-08,1.8448E-08,0.0535547,0.574709,,,,1.0_1.0_1.0,,1,1.0_1.0,,0.99271_0.993806,,,1.0_1.0,1,,1,0.99502,,,,,0.996035_0.991069,,,1,,,,1,1,,1.0_1.0,,1.0_1.0_1.0_1.0_1.0,1,1.0_1.0,1,,,1,,1,,1,,,0.983159_0.991069,1,1,1,,,,1,,1.0_1.0,1,,1,1,,0.993725,,1,1.0_1.0,,1,,,,1,0.993182_0.992221_1.0,,1,,,,1.0_1.0,1.0_1.0,,1
0.0642667,,4.61585E-09,2.00419e-08_7.92062e-12,,,,,0.76861_0.307869,,6.73111E-08,,,0.434076,,7.48923E-08,5.60404E-08,7.48923E-08,,0.922296,0.879207,1.0_1.0,1,,1,,,1,,,1.0_1.0,,,1,1,,1,,1,1,1,1.0_1.0,1,,1,1.0_1.0,0.989277_0.999271,,,,,,1,,1,,,1,0.992538_0.993806,1.0_1.0_1.0,1,,1,1,,1,1.0_1.0,,1.0_1.0,1.0_1.0_1.0_1.0,,1,1,1,0.992347,1.0_1.0,,1,,1,,,,1.0_1.0,1.0_1.0,,,,0.927136_0.876118_0.999332,,,1.0_1.0,,,,1,,0.994495_0.994375_1.0,1,1
,,,6.11496e-08_4.52453e-12,5.38628E-05,,,,0.835581,,7.48923e-08_3.00281e-12,5.17331E-08,,,0.576128,,,7.48923E-08,0.641576,,0.94693,1,0.988907,1,,,,1,1,,,1.0_1.0,0.983981,,1,1,0.999761,,,1,,1.0_1.0,,,0.983159_0.994847,,,,,0.987141_0.994375,0.989623,1.0_1.0,,0.991972,1,1,,,,1.0_1.0,,0.993725_0.996903,0.99502,1.0_1.0,,1,1,,1,0.995248,,,,,1.0_1.0,1.0_1.0,,1,1,,1.0_1.0,,,,1,,1.0_1.0,1,0.990538,1.0_1.0,,0.989345,,1,1,,1,0.989623,1,
1.13845E-07,,9.69153e-08_9.39057e-13,5.60404e-08_4.94554e-12,,,0.508405,0.920958,,,6.73111e-08_7.7981e-13,1.13845E-07,8.44568E-08,,0.298713,6.11496E-08,3.37564E-08,,0.0583831,,,0.949499,1,,0.992583,,1,1.0_1.0_1.0,,1,1,,1,1,1,1,1,1,,1.0_1.0,1.0_1.0,,1.0_1.0,,1,,,1.0_1.0,1,1.0_1.0,1,,0.993031,0.996035,,0.988934,1.0_1.0,1.0_1.0,1.0_1.0,1,,,,0.985411,,,1,1,,1,1,,1,1,,,,1,1,1,1,,,0.995585_0.994375_1.0,1,0.993597_0.999456,1.0_1.0,0.932973,,,,1,,1,0.99494_0.991069,,1,,1,
,,7.48923E-08,,,2.94159E-08,0.291461,,,0.273536,7.48923E-08,4.20851e-08_4.17046e-12_7.63245e-46,,0.440708,,8.44568E-08,,,0.411857,,,,1.0_1.0,1,,1.0_1.0,,,,,1.0_1.0_0.999999_1.0,,1.0_1.0,,,1,,0.996035_0.995584,1,,1,1,,1.0_1.0,,,0.983981,,,0.991972,,1,1,,,,1.0_1.0,,,1.0_1.0,0.995388,1.0_1.0_1.0,1,1,1,,1,,0.994079,1,1,,,1.0_1.0,,,,,1,,,,1.0_1.0,1.0_1.0,1,1,1,,,,0.99271,0.990542,,1.0_1.0,1,,,,,
0.0642667_0.151814,,,6.73111e-08_4.52453e-12_5.37435e-05,,0.282916,,,,,,,7.48923e-08_4.94554e-12,2.12692E-08,0.352462,,6.11496E-08,,0.812437,0.900196,0.846573_0.740875,,,1,1.0_1.0,1.0_1.0,,0.987141,,1,,1,,1,1.0_1.0_1.0,1,1,0.998392_1.0,,0.988301,,,,,,1,,1,,,,1,0.994396_0.992221,1,1.0_1.0,1,,,,,1.0_1.0,1,,1,1,1,,1,0.983159_0.994847_1.0,0.994079_0.997303,,0.986611_0.994847,0.983981_0.994375,1,0.993725_0.992221_1.0,1.0_1.0,1,1,1,,1.0_1.0,,0.987141,,1,,,,0.942653_1.0,1.0_1.0_1.0,,1,,,1,1,0.988512_0.994375,,1,0.992358_0.996135
